Nome do Buteco,Endereço,Latitude,Longitude,Avaliação,Seg (Abertura),Seg (Fechamento),Ter (Abertura),Ter (Fechamento),Qua (Abertura),Qua (Fechamento),Qui (Abertura),Qui (Fechamento),Sex (Abertura),Sex (Fechamento),Sáb (Abertura),Sáb (Fechamento),Dom (Abertura),Dom (Fechamento)
Mulão,"Rua Marambaia, 291 | Caiçara, Belo Horizonte - MG",-19897284,-44007469,,,,17:00:00,00:00:00,17:00:00,00:00:00,17:00:00,00:00:00,17:00:00,00:00:00,12:00,00:00,12:00:00,20:00:00
Nosso Spetim,"Rua dos Astecas, 3219 | Santa Mônica, Belo Horizonte - MG",-19834720,-43978601,,18:00:00,00:00:00,18:00:00,00:00:00,18:00:00,00:00:00,18:00:00,00:00:00,18:00:00,00:00:00,18:00,00:00,,
O Fino do Alho,"Rua Capitão Sérgio Pires, 41 | Minascaixa, Belo Horizonte - MG",-19834720,-43978601,,,,17:00:00,23:00:00,17:00:00,23:00:00,17:00:00,23:00:00,17:00:00,23:00:00,17:00,23:00,17:00:00,23:00:00
Oratório Bar,"Avenida Brasil, 161 | Santa Efigênia, Belo Horizonte - MG",-19924765,-43934812,,,,18:00:00,00:00:00,18:00:00,00:00:00,18:00:00,00:00:00,18:00:00,00:00:00,12:00,23:00,12:00:00,17:00:00
Parada 10.95 Bar,"Avenida dos Engenheiros, 1095 | Alípio de Melo, Belo Horizonte - MG",-19907955,-44020478,,,,17:00:00,00:00:00,17:00:00,00:00:00,17:00:00,00:00:00,17:00:00,00:00:00,11:00,00:00,11:00:00,22:00:00
Parada do Sabor,"Avenida General Carlos Guedes, 346 | Planalto, Belo Horizonte - MG",-19861750,-43960251,,11:00:00,15:00:00,11:00:00,15:00:00,11:00:00,15:00:00,11:00:00,15:00:00,11:00:00,15:00:00,11:00,15:00,11:00:00,15:00:00
Pé de Cana,"Rua Flórida, 15 | Sion, Belo Horizonte - MG",-19940523,-43931753,,11:00:00,00:00:00,11:00:00,00:00:00,11:00:00,00:00:00,11:00:00,00:00:00,11:00:00,00:00:00,11:00,00:00,11:00:00,18:00:00
Pé de Goiaba,"Avenida Amazonas, 4676 | Nova Suíssa, Belo Horizonte - MG",-19940562,-44006950,,,,17:00:00,23:30:00,17:00:00,23:30:00,17:00:00,23:30:00,17:00:00,23:30:00,12:00,23:30,,
Planeta Lúpulo,"Avenida Guarapari, 108 | Santa Amélia, Belo Horizonte - MG",-19833595,-44004146,,,,17:00:00,00:00:00,17:00:00,00:00:00,17:00:00,00:00:00,17:00:00,01:00:00,12:00,01:00,12:00:00,22:00:00
PoiZé Bar e Petisqueira,"Rua Pium-I, 686 | Cruzeiro, Belo Horizonte - MG",-19940523,-43931753,,18:00:00,23:00:00,18:00:00,23:00:00,18:00:00,23:00:00,18:00:00,23:00:00,18:00:00,23:00:00,11:30,23:00,11:30:00,17:00:00
Prado Beer,"Avenida Francisco Sá, 590 | Prado, Belo Horizonte - MG",-19930416,-43967676,,12:00:00,00:00:00,12:00:00,00:00:00,12:00:00,00:00:00,12:00:00,00:00:00,12:00:00,00:00:00,12:00,00:00,12:00:00,22:00:00
Prosa Boa,"Avenida Doutor Cristiano Guimarães, 1480 | Planalto, Belo Horizonte - MG",-19861750,-43960251,,17:00:00,00:00:00,17:00:00,00:00:00,17:00:00,00:00:00,17:00:00,00:00:00,17:00:00,00:00:00,12:00,00:00,12:00:00,22:00:00
Quinteiro Bar e Restaurante,"Rua Salinas, 1008 | Floresta, Belo Horizonte - MG",-19908239,-43921312,,11:00:00,15:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00,23:00,11:00:00,17:00:00
Quioxque Botequim Carioca,"Rua Henrique Badaró Portugal, 157 | Buritis, Belo Horizonte - MG",-19983944,-43987627,,17:00:00,00:00:00,17:00:00,00:00:00,17:00:00,00:00:00,17:00:00,00:00:00,17:00:00,00:00:00,11:00,00:00,11:00:00,20:00:00
Quitandas da Tia Nice Bar,"Rua Alabastro, 146 | Sagrada Família, Belo Horizonte – MG",-19907998,-43916388,,17:00:00,23:00:00,17:00:00,23:00:00,17:00:00,23:00:00,17:00:00,23:00:00,17:00:00,23:00:00,17:00,23:00,,
Rancho do Manoel,"Rua Isabel Bueno, 1100 | Belo Horizonte - MG",-19845014,-43948238,,,,17:00:00,23:00:00,17:00:00,23:00:00,17:00:00,23:00:00,17:00:00,23:00:00,11:00,23:00,11:00:00,18:00:00
Recanto Vovó Tela,"Rua Tenente Marino Freire, 270 | Maria Helena, Belo Horizonte - MG",-19811224,-43968362,,,,18:00:00,00:00:00,18:00:00,00:00:00,18:00:00,00:00:00,18:00:00,00:00:00,18:00,01:00,18:00:00,00:00:00
Regis Bar,"Avenida Vinte e Oito de Setembro, 872 | Belo Horizonte - MG",-19923412,-43945893,,16:00:00,23:30:00,16:00:00,23:30:00,16:00:00,23:30:00,16:00:00,23:30:00,16:00:00,23:30:00,16:00,23:30,,
